Date,Head_314740
1972-02-14 07:01:00,329.86
1972-02-16 07:01:00,329.84
1972-02-17 07:01:00,329.82
1972-02-21 07:01:00,329.9
1972-02-24 07:01:00,329.93
1972-02-28 07:01:00,329.98
1972-03-02 07:01:00,330.14
1972-03-06 07:01:00,330.13
1972-03-09 07:01:00,330.12
1972-03-13 07:01:00,330.2
1972-03-16 07:01:00,330.13
1972-03-20 07:01:00,330.14
1972-03-23 07:01:00,330.16
1972-03-27 07:01:00,330.15
1972-03-30 07:01:00,330.16
1972-04-03 07:01:00,330.29
1972-04-06 07:01:00,330.45
1972-04-10 07:01:00,330.42
1972-04-13 07:01:00,330.34
1972-04-17 07:01:00,330.45
1972-04-20 07:01:00,330.49
1972-04-24 07:01:00,331.37
1972-04-27 07:01:00,331.11
1972-05-01 07:01:00,330.77
1972-05-04 07:01:00,330.69
1972-05-08 07:01:00,330.68
1972-05-11 07:01:00,330.87
1972-05-15 07:01:00,330.94
1972-05-18 07:01:00,331.62
1972-05-22 07:01:00,331.47
1972-05-25 07:01:00,331.4
1972-05-29 07:01:00,331.79
1972-06-01 07:01:00,331.86
1972-06-05 07:01:00,331.94
1972-06-08 07:01:00,331.7
1972-06-09 07:01:00,331.63
1972-06-12 07:01:00,331.35
1972-06-15 07:01:00,331.33
1972-06-19 07:01:00,331.6
1972-06-22 07:01:00,331.36
1972-06-26 07:01:00,331.35
1972-06-29 07:01:00,331.15
1972-07-03 07:01:00,330.99
1972-07-06 07:01:00,330.84
1972-07-10 07:01:00,330.77
1972-07-13 07:01:00,331.37
1972-07-17 07:01:00,332.56
1972-07-20 07:01:00,331.86
1972-07-24 07:01:00,331.39
1972-07-27 07:01:00,331.29
1972-07-31 07:01:00,331.16
1972-08-03 07:01:00,331.29
1972-08-07 07:01:00,331.11
1972-08-10 07:01:00,330.85
1972-08-14 07:01:00,330.69
1972-08-17 07:01:00,330.65
1972-08-18 07:01:00,330.64
1972-08-21 07:01:00,330.67
1972-08-24 07:01:00,330.59
1972-08-28 07:01:00,330.46
1972-08-31 07:01:00,330.5
1972-09-04 07:01:00,330.45
1972-09-07 07:01:00,330.37
1972-09-11 07:01:00,330.73
1972-09-14 07:01:00,330.56
1972-09-18 07:01:00,330.49
1972-09-21 07:01:00,330.41
1972-09-25 07:01:00,330.34
1972-09-28 07:01:00,330.31
1972-10-02 07:01:00,330.27
1972-10-05 07:01:00,330.22
1972-10-09 07:01:00,330.2
1972-10-12 07:01:00,330.24
1972-10-16 07:01:00,330.19
1972-10-18 07:01:00,330.15
1972-10-19 07:01:00,330.13
1972-10-23 07:01:00,330.11
1972-10-26 07:01:00,330.13
1972-10-30 07:01:00,330.18
1972-11-02 07:01:00,330.15
1972-11-06 07:01:00,330.1
1972-11-09 07:01:00,330.08
1972-11-13 07:01:00,330.08
1972-11-16 07:01:00,330.08
1972-11-20 07:01:00,330.09
1972-11-23 07:01:00,330.07
1972-11-27 07:01:00,330.07
1972-11-30 07:01:00,329.98
1972-12-04 07:01:00,330.04
1972-12-07 07:01:00,330.02
1972-12-11 07:01:00,329.98
1972-12-13 07:01:00,329.97
1972-12-14 07:01:00,329.94
1972-12-18 07:01:00,329.88
1972-12-21 07:01:00,329.9
1972-12-25 07:01:00,329.84
1972-12-28 07:01:00,329.8
1973-01-01 07:01:00,329.75
1973-01-06 07:01:00,329.79
1973-01-08 07:01:00,329.8
1973-01-11 07:01:00,329.76
1973-01-15 07:01:00,329.74
1973-01-18 07:01:00,329.79
1973-01-22 07:01:00,329.74
1973-01-25 07:01:00,329.71
1973-01-29 07:01:00,329.71
1973-02-01 07:01:00,329.74
1973-02-05 07:01:00,329.74
1973-02-08 07:01:00,329.72
1973-02-09 07:01:00,329.73
1973-02-12 07:01:00,329.7
1973-02-15 07:01:00,329.73
1973-02-19 07:01:00,329.7
1973-02-22 07:01:00,329.7
1973-02-26 07:01:00,329.72
1973-03-01 07:01:00,329.68
1973-03-05 07:01:00,329.7
1973-03-08 07:01:00,329.76
1973-03-12 07:01:00,329.7
1973-03-15 07:01:00,329.7
1973-03-19 07:01:00,329.7
1973-03-22 07:01:00,329.73
1973-03-26 07:01:00,329.9
1973-03-29 07:01:00,330.04
1973-04-02 07:01:00,330.06
1973-04-05 07:01:00,330.01
1973-04-09 07:01:00,329.98
1973-04-11 07:01:00,330.2
1973-04-12 07:01:00,330.2
1973-04-16 07:01:00,330.02
1973-04-19 07:01:00,329.95
1973-04-23 07:01:00,329.91
1973-04-26 07:01:00,329.95
1973-04-30 07:01:00,330.11
1973-05-03 07:01:00,330.51
1973-05-07 07:01:00,331.04
1973-05-10 07:01:00,331.27
1973-05-14 07:01:00,330.92
1973-05-17 07:01:00,330.6
1973-05-21 07:01:00,330.52
1973-05-24 07:01:00,330.53
1973-05-28 07:01:00,330.47
1973-05-31 07:01:00,330.39
1973-06-04 07:01:00,330.41
1973-06-06 07:01:00,330.46
1973-06-07 07:01:00,330.76
1973-06-11 07:01:00,330.93
1973-06-14 07:01:00,330.73
1973-06-18 07:01:00,330.58
1973-06-21 07:01:00,330.61
1973-06-25 07:01:00,331.61
1973-06-28 07:01:00,331.29
1973-07-02 07:01:00,330.95
1973-07-05 07:01:00,330.73
1973-07-09 07:01:00,330.61
1973-07-12 07:01:00,330.53
1973-07-16 07:01:00,330.4
1973-07-19 07:01:00,330.32
1973-07-23 07:01:00,330.36
1973-07-26 07:01:00,330.35
1973-07-27 07:01:00,330.31
1973-07-30 07:01:00,330.24
1973-08-02 07:01:00,330.2
1973-08-06 07:01:00,330.16
1973-08-09 07:01:00,330.13
1973-08-13 07:01:00,330.04
1973-08-16 07:01:00,330.02
1973-08-20 07:01:00,329.95
1973-08-23 07:01:00,329.96
1973-08-27 07:01:00,329.94
1973-08-30 07:01:00,330.02
1973-09-03 07:01:00,329.92
1973-09-06 07:01:00,329.89
1973-09-10 07:01:00,329.83
1973-09-13 07:01:00,329.83
1973-09-17 07:01:00,329.83
1973-09-20 07:01:00,329.82
1973-09-24 07:01:00,329.95
1973-09-27 07:01:00,331.04
1973-10-01 07:01:00,330.7
1973-10-04 07:01:00,330.82
1973-10-08 07:01:00,330.55
1973-10-09 07:01:00,330.5
1973-10-11 07:01:00,330.42
1973-10-15 07:01:00,330.29
1973-10-18 07:01:00,330.28
1973-10-22 07:01:00,330.23
1973-10-25 07:01:00,330.2
1973-10-29 07:01:00,330.11
1973-11-01 07:01:00,330.1
1973-11-05 07:01:00,330.05
1973-11-08 07:01:00,329.96
1973-11-12 07:01:00,330.01
1973-11-15 07:01:00,330.0
1973-11-19 07:01:00,330.03
1973-11-22 07:01:00,330.01
1973-11-26 07:01:00,329.99
1973-11-29 07:01:00,329.93
1973-12-03 07:01:00,329.85
1973-12-06 07:01:00,329.91
1973-12-10 07:01:00,329.9
1973-12-13 07:01:00,329.8
1973-12-17 07:01:00,329.85
1973-12-20 07:01:00,329.83
1973-12-24 07:01:00,329.86
1973-12-27 07:01:00,329.88
1973-12-31 07:01:00,329.82
1974-01-03 07:01:00,329.82
1974-01-07 07:01:00,329.79
1974-01-10 07:01:00,329.78
1974-01-14 07:01:00,329.77
1974-01-17 07:01:00,329.9
1974-01-21 07:01:00,330.22
1974-01-24 07:01:00,330.06
1974-01-28 07:01:00,329.98
1974-01-31 07:01:00,329.93
1974-02-04 07:01:00,329.9
1974-02-07 07:01:00,329.93
1974-02-11 07:01:00,329.89
1974-02-14 07:01:00,329.89
1974-02-18 07:01:00,329.91
1974-02-19 07:01:00,329.92
1974-02-21 07:01:00,330.0
1974-02-25 07:01:00,329.96
1974-02-28 07:01:00,329.93
1974-03-04 07:01:00,329.91
1974-03-07 07:01:00,330.08
1974-03-11 07:01:00,330.04
1974-03-14 07:01:00,330.02
1974-03-18 07:01:00,330.06
1974-03-21 07:01:00,330.36
1974-03-25 07:01:00,330.77
1974-03-28 07:01:00,330.9
1974-04-01 07:01:00,330.89
1974-04-04 07:01:00,330.73
1974-04-08 07:01:00,330.62
1974-04-11 07:01:00,330.55
1974-04-15 07:01:00,330.55
1974-04-18 07:01:00,330.46
1974-04-22 07:01:00,330.33
1974-04-23 07:01:00,330.28
1974-04-25 07:01:00,330.27
1974-04-29 07:01:00,330.25
1974-05-02 07:01:00,330.48
1974-05-06 07:01:00,330.49
1974-05-09 07:01:00,330.43
1974-05-13 07:01:00,330.4
1974-05-16 07:01:00,330.53
1974-05-20 07:01:00,330.48
1974-05-23 07:01:00,330.67
1974-05-27 07:01:00,330.53
1974-05-30 07:01:00,330.62
1974-06-03 07:01:00,330.73
1974-06-06 07:01:00,330.71
1974-06-10 07:01:00,330.62
1974-06-13 07:01:00,330.73
1974-06-17 07:01:00,330.51
1974-06-20 07:01:00,330.49
1974-06-24 07:01:00,330.45
1974-06-27 07:01:00,330.53
1974-07-01 07:01:00,330.69
1974-07-04 07:01:00,330.63
1974-07-08 07:01:00,330.55
1974-07-11 07:01:00,330.49
1974-07-15 07:01:00,330.38
1974-07-18 07:01:00,330.38
1974-07-22 07:01:00,330.48
1974-07-25 07:01:00,330.49
1974-07-29 07:01:00,330.37
1974-08-01 07:01:00,330.36
1974-08-05 07:01:00,330.44
1974-08-08 07:01:00,330.32
1974-08-12 07:01:00,330.45
1974-08-15 07:01:00,330.3
1974-08-19 07:01:00,330.18
1974-08-22 07:01:00,330.14
1974-08-26 07:01:00,330.11
1974-08-29 07:01:00,330.33
1974-09-02 07:01:00,330.47
1974-09-05 07:01:00,330.17
1974-09-09 07:01:00,330.13
1974-09-12 07:01:00,330.07
1974-09-16 07:01:00,329.99
1974-09-19 07:01:00,329.96
1974-09-23 07:01:00,329.99
1974-09-24 07:01:00,330.11
1974-09-26 07:01:00,330.22
1974-09-30 07:01:00,330.12
1974-10-03 07:01:00,330.06
1974-10-07 07:01:00,330.05
1974-10-10 07:01:00,330.06
1974-10-14 07:01:00,330.04
1974-10-17 07:01:00,330.02
1974-10-20 07:01:00,330.02
1974-10-21 07:01:00,330.03
1974-10-24 07:01:00,329.99
1974-10-28 07:01:00,329.97
1974-10-31 07:01:00,329.95
1974-11-04 07:01:00,329.91
1974-11-07 07:01:00,329.9
1974-11-11 07:01:00,329.88
1974-11-14 07:01:00,329.85
1974-11-18 07:01:00,329.83
1974-11-21 07:01:00,329.9
1974-11-25 07:01:00,329.86
1974-11-28 07:01:00,329.83
1974-12-01 07:01:00,329.82
1974-12-05 07:01:00,329.97
1974-12-09 07:01:00,330.15
1974-12-12 07:01:00,330.23
1974-12-16 07:01:00,330.02
1974-12-19 07:01:00,329.99
1974-12-23 07:01:00,329.93
1974-12-26 07:01:00,329.87
1974-12-30 07:01:00,330.15
1975-01-01 07:01:00,330.16
1975-01-06 07:01:00,330.05
1975-01-09 07:01:00,330.12
1975-01-13 07:01:00,329.99
1975-01-16 07:01:00,329.96
1975-01-20 07:01:00,329.96
1975-01-21 07:01:00,329.96
1975-01-23 07:01:00,329.95
1975-01-27 07:01:00,329.91
1975-01-30 07:01:00,329.89
1975-02-03 07:01:00,329.9
1975-02-06 07:01:00,329.88
1975-02-10 07:01:00,329.82
1975-02-13 07:01:00,329.82
1975-02-17 07:01:00,329.81
1975-02-20 07:01:00,329.8
1975-02-24 07:01:00,329.74
1975-02-27 07:01:00,329.74
1975-03-01 07:01:00,329.72
1975-03-03 07:01:00,329.74
1975-03-06 07:01:00,329.79
1975-03-10 07:01:00,329.89
1975-03-13 07:01:00,329.95
1975-03-17 07:01:00,330.0
1975-03-20 07:01:00,330.26
1975-03-24 07:01:00,330.54
1975-03-27 07:01:00,330.35
1975-03-31 07:01:00,330.28
1975-04-03 07:01:00,330.22
1975-04-07 07:01:00,330.35
1975-04-10 07:01:00,330.66
1975-04-14 07:01:00,330.48
1975-04-17 07:01:00,330.68
1975-04-21 07:01:00,330.68
1975-04-22 07:01:00,330.75
1975-04-24 07:01:00,330.9
