date,B28H1804_2
2013-12-08 20:00:00,19.647
2013-12-09 20:00:00,19.642
2013-12-10 20:00:00,19.634
2013-12-11 20:00:00,19.627
2013-12-12 20:00:00,19.627
2013-12-13 20:00:00,19.62
2013-12-14 20:00:00,19.626
2013-12-15 20:00:00,19.628
2013-12-16 20:00:00,19.621
2013-12-17 20:00:00,19.612
2013-12-18 20:00:00,19.616
2013-12-19 20:00:00,19.643
2013-12-20 20:00:00,19.626
2013-12-21 20:00:00,19.623
2013-12-22 20:00:00,19.629
2013-12-23 20:00:00,19.628
2013-12-24 20:00:00,19.68
2013-12-25 20:00:00,19.706
2013-12-26 20:00:00,19.685
2013-12-27 20:00:00,19.678
2013-12-28 20:00:00,19.713
2013-12-29 20:00:00,19.688
2013-12-30 20:00:00,19.678
2013-12-31 20:00:00,19.675
2014-01-01 20:00:00,19.671
2014-01-02 20:00:00,19.664
2014-01-03 20:00:00,19.672
2014-01-04 20:00:00,19.681
2014-01-05 20:00:00,19.673000000000002
2014-01-06 20:00:00,19.673000000000002
2014-01-07 20:00:00,19.667
2014-01-08 20:00:00,19.682
2014-01-09 20:00:00,19.678
2014-01-10 20:00:00,19.669
2014-01-11 20:00:00,19.667
2014-01-12 20:00:00,19.662
2014-01-13 20:00:00,19.658
2014-01-14 20:00:00,19.653
2014-01-15 20:00:00,19.654
2014-01-16 20:00:00,19.67
2014-01-17 20:00:00,19.662
2014-01-18 20:00:00,19.672
2014-01-19 20:00:00,19.663
2014-01-20 20:00:00,19.655
2014-01-21 20:00:00,19.655
2014-01-22 20:00:00,19.649
2014-01-23 20:00:00,19.652
2014-01-24 20:00:00,19.647
2014-01-25 20:00:00,19.651
2014-01-26 20:00:00,19.694
2014-01-27 20:00:00,19.716
2014-01-28 20:00:00,19.698
2014-01-29 20:00:00,19.681
2014-01-30 20:00:00,19.664
2014-01-31 20:00:00,19.661
2014-02-01 20:00:00,19.665
2014-02-02 20:00:00,19.654
2014-02-03 20:00:00,19.65
2014-02-04 20:00:00,19.647
2014-02-05 20:00:00,19.645
2014-02-06 20:00:00,19.639
