,Extraction 3
1999-04-01,17154.83870967742
1999-05-01,18973.333333333332
1999-06-01,18354.41935483871
1999-07-01,14847.1
1999-08-01,17829.032258064515
1999-09-01,17654.83870967742
1999-10-01,16896.666666666668
1999-11-01,16870.967741935485
1999-12-01,18200.0
2000-01-01,16841.935483870966
2000-02-01,17441.935483870966
2000-03-01,17782.758620689656
2000-04-01,18454.83870967742
2000-05-01,18233.333333333332
2000-06-01,17700.0
2000-07-01,16603.333333333332
2000-08-01,14070.967741935483
2000-09-01,15903.225806451614
2000-10-01,15386.666666666666
2000-11-01,14729.032258064517
2000-12-01,17223.333333333332
2001-01-01,18335.483870967742
2001-02-01,17874.516129032258
2001-03-01,18135.714285714286
2001-04-01,16109.354838709678
2001-05-01,11152.533333333333
2001-06-01,10854.483870967742
2001-07-01,13704.5
2001-08-01,10024.41935483871
2001-09-01,9532.677419354839
2001-10-01,8472.7
2001-11-01,11862.548387096775
2001-12-01,14851.533333333333
2002-01-01,13686.387096774193
2002-02-01,13757.870967741936
2002-03-01,14254.392857142857
2002-04-01,14241.258064516129
2002-05-01,14760.5
2002-06-01,13874.193548387097
2002-07-01,13098.333333333334
2002-08-01,14669.354838709678
2002-09-01,13812.90322580645
2002-10-01,14470.2
2002-11-01,12969.129032258064
2002-12-01,12756.966666666667
2003-01-01,13575.548387096775
2003-02-01,12328.354838709678
2003-03-01,13163.607142857143
2003-04-01,13520.645161290322
2003-05-01,13756.333333333334
2003-06-01,10455.161290322581
2003-07-01,13483.333333333334
2003-08-01,12877.41935483871
2003-09-01,12360.0
2003-10-01,11641.333333333334
2003-11-01,9806.451612903225
2003-12-01,9401.8
2004-01-01,9347.90322580645
2004-02-01,12152.935483870968
2004-03-01,9666.206896551725
2004-04-01,10169.741935483871
2004-05-01,10161.266666666666
2004-06-01,9742.129032258064
2004-07-01,9266.166666666666
2004-08-01,9040.161290322581
2004-09-01,9195.612903225807
2004-10-01,8163.333333333333
2004-11-01,8303.290322580646
2004-12-01,8447.933333333332
2005-01-01,8631.548387096775
2005-02-01,8753.645161290322
2005-03-01,8762.285714285714
2005-04-01,8631.0
2005-05-01,11739.4
2005-06-01,7552.870967741936
2005-07-01,8824.933333333332
2005-08-01,8456.645161290322
2005-09-01,8528.290322580646
2005-10-01,8663.2
2005-11-01,8368.935483870968
2005-12-01,8035.766666666666
2006-01-01,7846.677419354839
2006-02-01,8446.741935483871
2006-03-01,7227.571428571428
2006-04-01,7844.903225806452
2006-05-01,7600.366666666667
2006-06-01,7550.290322580645
2006-07-01,7673.3
2006-08-01,8356.90322580645
2006-09-01,7280.612903225807
2006-10-01,8292.733333333334
2006-11-01,9056.741935483871
2006-12-01,8723.9
2007-01-01,7393.645161290323
2007-02-01,7771.8387096774195
2007-03-01,7614.571428571428
2007-04-01,6358.612903225807
2007-05-01,8607.866666666667
2007-06-01,7622.258064516129
2007-07-01,7770.366666666667
2007-08-01,7625.870967741936
2007-09-01,10006.774193548386
2007-10-01,7972.2
2007-11-01,7157.709677419355
2007-12-01,7186.3
2008-01-01,9566.90322580645
2008-02-01,9092.516129032258
2008-03-01,8014.689655172414
2008-04-01,7549.193548387097
2008-05-01,12618.633333333333
2008-06-01,9442.548387096775
2008-07-01,9435.433333333332
2008-08-01,10735.935483870968
2008-09-01,10437.354838709678
2008-10-01,10431.333333333334
2008-11-01,8276.41935483871
2008-12-01,8229.766666666666
2009-01-01,7309.4838709677415
2009-02-01,8431.193548387097
2009-03-01,8665.32142857143
2009-04-01,8336.0
2009-05-01,15302.8
2009-06-01,10060.612903225807
2009-07-01,8657.5
2009-08-01,8520.290322580646
2009-09-01,8646.774193548386
2009-10-01,8628.566666666668
2009-11-01,7925.096774193548
2009-12-01,8683.4
2010-01-01,8859.967741935483
2010-02-01,8844.741935483871
2010-03-01,7730.857142857143
2010-04-01,7901.225806451613
2010-05-01,7264.966666666666
2010-06-01,6899.1612903225805
2010-07-01,7668.366666666667
2010-08-01,7481.419354838709
2010-09-01,6977.096774193548
2010-10-01,7455.133333333333
2010-11-01,8965.064516129032
2010-12-01,5866.366666666667
2011-01-01,5094.774193548387
2011-02-01,3618.8064516129034
2011-03-01,4963.142857142857
2011-04-01,5011.451612903225
2011-05-01,3783.0666666666666
2011-06-01,3812.6129032258063
2011-07-01,2563.233333333333
2011-08-01,1064.9032258064517
2011-09-01,1232.225806451613
2011-10-01,1293.1333333333334
2011-11-01,939.6774193548387
2011-12-01,834.5
2012-01-01,814.8709677419355
2012-02-01,280.96774193548384
2012-03-01,6281.482758620689
2012-04-01,4687.774193548387
2012-05-01,3033.0
2012-06-01,3143.032258064516
2012-07-01,2999.0
2012-08-01,2978.4193548387098
2012-09-01,2924.9032258064517
2012-10-01,2930.0666666666666
2012-11-01,2936.451612903226
2012-12-01,3053.266666666667
2013-01-01,3108.7741935483873
2013-02-01,3028.3548387096776
2013-03-01,3073.6785714285716
2013-04-01,3727.483870967742
2013-05-01,7025.433333333333
2013-06-01,2919.032258064516
2013-07-01,2917.5333333333333
2013-08-01,2871.9032258064517
2013-09-01,2881.451612903226
2013-10-01,2870.9333333333334
2013-11-01,2878.1612903225805
2013-12-01,2839.766666666667
2014-01-01,2850.9032258064517
2014-02-01,2169.5806451612902
2014-03-01,2026.8214285714287
2014-04-01,2385.4193548387098
2014-05-01,2737.4333333333334
2014-06-01,2908.7096774193546
2014-07-01,2835.5666666666666
2014-08-01,2943.3225806451615
2014-09-01,2854.6129032258063
2014-10-01,2940.5333333333333
2014-11-01,3053.3548387096776
2014-12-01,2882.1666666666665
2015-01-01,2958.3870967741937
2015-02-01,2895.7419354838707
2015-03-01,2806.0714285714284
2015-04-01,2808.6774193548385
2015-05-01,2717.8333333333335
2015-06-01,2793.8064516129034
2015-07-01,2746.1666666666665
2015-08-01,2875.3548387096776
2015-09-01,2885.516129032258
